Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,100n,
C10,2220,1,10u,
"C11, C12",0805,2,1u,
C3,CP_Radial_D8.0mm_P3.50mm,1,220u,
C5,C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,220p,
C6,C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,220n,
C7,C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,2.2n,
C8,CP_Radial_D5.0mm_P2.50mm,1,6.8u,
D1,D_DO-41_SOD81_P7.5mm_Horizontal,1,1N4001G-T,1N4001G-T
D4,D_DO-41_SOD81_P10.0mm_Horizontal,1,1N34A,1N34A
P1,WirePad_22AWG,1,IN,
"P2, P6, P8",WirePad_22AWG,3,GND,
P3,WirePad_22AWG,1,-9V,
P7,WirePad_22AWG,1,OUT,
"Q1, Q2, Q3",TO-92L_Wide_EBC,3,PNP_Ge,PNP_Ge
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.5mm_Horizontal,1,100k,
R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.5mm_Horizontal,1,4.7k,
"R11, R2, R3, R4, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.5mm_Horizontal,5,10k,
R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.5mm_Horizontal,1,220k,
R14,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.5mm_Horizontal,1,100,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.5mm_Horizontal,1,2.2M,
R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.5mm_Horizontal,1,3.3k,
R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.5mm_Horizontal,1,1,
R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.5mm_Horizontal,1,680k,
"RV1, RV2, RV3",Potentiometer_16MM,3,B100k,
"RV4, RV5",Potentiometer_Bourns_3362P_Vertical,2,B20k,3362P-1-203LF
TP1,TestPoint_Keystone_5000-5004_Miniature,1,Q1_C,
TP2,TestPoint_Keystone_5000-5004_Miniature,1,Q3_C,
